Step,Loss,Learning_Rate,Elapsed_Time_Minutes
3980,0.9936,0.0001753682313557541,137.8
3990,0.9611,0.00017519136209035848,138.18
4000,1.0087,0.00017501394996248724,138.42
4020,0.9096,0.0001746575022467095,149.9
4030,1.0253,0.00017447846923226466,150.4
4040,0.9862,0.00017429889850224903,150.79
4050,1.0259,0.0001741187913531175,151.03
4060,1.1006,0.0001739381490851978,152.02
4070,0.9341,0.00017375697300268107,152.64
4080,0.992,0.0001735752644136125,153.11
4090,1.0305,0.00017339302462988178,153.47
4100,0.9896,0.00017321025496721371,153.71
4110,1.0924,0.00017302695674515866,154.69
4120,0.9111,0.00017284313128708315,155.34
4130,1.0032,0.0001726587799201601,155.83
4140,0.9547,0.00017247390397535938,156.2
4150,1.061,0.0001722885047874383,156.42
4160,1.1621,0.0001721025836949317,157.39
4170,0.9245,0.0001719161420401425,158.02
4180,0.984,0.0001717291811691319,158.49
4190,1.0001,0.00017154170243170982,158.86
4200,0.9988,0.00017135370718142495,159.1
4210,1.1619,0.00017116519677555508,160.07
4220,0.8968,0.00017097617257509734,160.71
4230,1.0037,0.00017078663594475825,161.21
4240,1.0243,0.00017059658825294404,161.6
4250,1.0128,0.00017040603087175058,161.84
4260,1.1097,0.0001702149651769536,162.8
4270,0.9216,0.00017002339254799882,163.42
4280,0.9748,0.00016983131436799166,163.9
4290,1.0531,0.00016963873202368776,164.27
4300,1.1116,0.00016944564690548258,164.5
4310,1.1147,0.00016925206040740136,165.45
4320,0.9299,0.00016905797392708938,166.06
